Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   ./data_files/experiment2.dta
   Population Size:,   200
Number of Generations:,   1000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Integer A

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
10,12.80541000,112,'2 0 4 3 0 3 2 4 4 3 4 1 1 2 0 2 3 0 3 1 4 4 4 4 1 3 4 2 4 4 3 0 3 0 0 0 0 4 1 4 4 3 3 1 3 2 2 4 3 2 4 4 0 2 3 1 1 2 4 3 2 4 4 3 2 2 4 3 2 1 1 1 4 4 4 ,15.00000000,'0 3 2 3 1 0 2 1 3 4 2 3 0 0 0 0 0 0 0 0 2 2 4 1 2 2 2 3 2 1 4 2 3 4 2 4 0 3 1 3 2 2 4 2 4 4 4 1 2 1 2 2 2 2 4 1 1 0 1 2 3 2 1 2 4 2 4 3 4 3 0 2 1 1 2 ,8.00000000,1.07358033,1.152574731899,(XOR1 (NOT1 (WIRE (XOR1 (WIRE D) (OR1 D A)))) (WIRE (OR1 (AND1 (XOR1 C A) (OR1 D A)) (XOR1 (XOR1 C A) (AND1 B C)))))
11,13.06757000,572,'2 4 4 4 2 4 1 4 4 1 4 0 3 1 3 3 1 1 4 4 1 3 2 4 2 1 2 1 4 3 4 4 2 1 0 4 1 3 3 1 4 3 1 2 1 4 3 4 4 4 2 1 3 3 4 4 3 2 3 3 2 1 4 4 4 4 0 3 1 4 2 4 3 3 4 ,32.00000000,'4 3 3 2 3 4 2 3 3 1 1 4 2 3 2 2 2 0 1 4 4 2 3 0 4 1 0 3 4 0 1 3 1 2 3 3 4 4 0 1 1 2 3 1 3 2 2 4 3 2 2 0 4 4 0 4 4 4 1 1 4 0 1 3 0 2 0 0 0 2 0 4 3 2 3 ,8.00000000,3.66254888,13.414264295099,(XOR1 (WIRE (XOR1 (OR1 (WIRE D) (WIRE D)) (OR1 (AND1 B A) (XOR1 A C)))) (NOT1 (OR1 (OR1 (WIRE D) (WIRE D)) (XOR1 (AND1 B A) (XOR1 B A)))))
12,12.98878000,3,'0 3 2 3 1 3 2 1 3 1 2 0 2 3 2 1 0 3 1 4 4 0 3 1 2 0 3 4 3 2 0 2 4 4 3 1 2 1 3 3 3 0 0 3 0 1 0 4 0 4 1 2 3 3 4 3 2 0 3 4 4 2 2 3 3 0 4 2 1 4 2 1 4 0 3 ,14.00000000,'4 4 3 0 4 1 1 0 2 0 1 0 0 4 2 4 2 4 2 4 2 1 2 1 4 2 0 1 0 0 1 2 4 0 3 4 3 3 4 4 4 1 2 4 1 3 0 3 2 0 4 0 3 0 4 4 3 0 2 1 0 2 2 3 3 0 2 0 3 1 3 0 4 2 4 ,8.00000000,1.08408215,1.175234111597,(NOT1 (XOR1 (XOR1 (WIRE (WIRE D)) (OR1 (NOT1 A) (AND1 B C))) (AND1 (WIRE (WIRE C)) (WIRE (WIRE C)))))
13,12.88273500,751,'3 3 2 1 4 3 0 2 4 4 1 3 4 1 0 4 4 1 4 1 4 0 3 3 1 3 4 4 2 1 2 2 2 2 4 3 4 3 3 3 4 2 4 3 1 4 4 3 4 3 2 4 1 0 2 4 2 2 4 1 2 3 4 3 4 3 4 3 4 4 4 3 4 4 2 ,15.00000000,'1 0 4 4 4 2 0 1 3 2 4 1 3 3 4 1 2 3 1 0 0 2 3 0 4 1 3 1 2 0 0 3 4 4 4 2 4 4 4 1 0 3 3 3 4 4 1 4 2 4 2 1 0 2 1 4 2 3 3 0 2 4 4 3 0 0 3 4 0 0 4 0 2 3 2 ,8.00000000,1.07650078,1.158853919773,(XOR1 (AND1 (OR1 (OR1 (AND1 A B) (XOR1 A C)) (XOR1 (WIRE B) (WIRE A))) (WIRE (WIRE (NOT1 D)))) (NOT1 (WIRE (OR1 (AND1 A B) (XOR1 A C)))))
14,12.55311000,57,'1 3 2 4 3 4 4 2 3 2 2 3 3 4 3 2 4 4 4 0 4 3 3 3 3 3 3 4 4 4 3 4 3 4 3 3 3 4 3 1 0 1 4 0 3 3 1 4 4 4 4 4 3 2 2 4 4 2 3 2 3 0 4 3 3 3 2 2 0 2 2 4 4 4 4 ,14.00000000,'4 0 2 1 2 0 0 4 1 2 1 3 2 4 2 3 3 1 0 3 4 1 0 2 0 0 1 2 1 3 3 1 4 2 3 0 1 2 2 0 3 2 0 0 1 4 2 2 0 0 2 2 2 2 2 1 1 3 4 4 2 2 4 3 3 2 0 1 1 4 4 1 2 3 1 ,8.00000000,0.97636024,0.953279327900,(XOR1 (XOR1 (WIRE (WIRE (WIRE C))) (WIRE (XOR1 (WIRE D) (WIRE D)))) (XOR1 (OR1 (XOR1 (WIRE D) (NOT1 B)) (XOR1 (WIRE A) (WIRE D))) (WIRE (XOR1 (WIRE D) (WIRE D)))))
15,12.66159000,33,'2 2 3 0 2 4 1 2 4 3 3 4 3 4 3 4 4 1 2 4 0 4 1 0 3 2 2 4 2 1 1 4 4 2 4 4 1 2 4 4 2 4 0 2 1 1 3 2 3 0 4 4 0 4 2 4 1 3 4 1 0 3 4 4 3 4 4 3 4 0 4 3 2 4 3 ,14.00000000,'4 0 3 4 0 4 4 2 0 3 1 0 1 1 4 4 1 4 0 1 4 1 3 4 2 2 4 1 2 1 2 3 1 3 0 4 4 3 1 0 1 3 3 4 0 2 4 4 4 1 0 0 4 2 1 2 3 1 0 4 3 3 3 1 3 0 1 4 2 2 3 0 4 2 3 ,8.00000000,1.02395736,1.048488671900,(XOR1 (NOT1 (XOR1 (AND1 (WIRE D) (XOR1 A C)) (OR1 (WIRE D) (XOR1 B C)))) (OR1 (XOR1 (AND1 (XOR1 B C) (WIRE D)) (AND1 (WIRE D) (XOR1 A C))) (OR1 (OR1 (WIRE D) (WIRE D)) (AND1 (WIRE D) (XOR1 A C)))))
16,13.31572000,0,'3 4 0 1 4 3 0 4 2 4 0 2 2 1 2 0 0 3 0 3 4 4 2 3 2 2 0 1 4 1 1 2 3 4 0 4 0 3 3 3 3 2 4 1 0 1 0 2 0 2 4 1 4 2 2 4 0 1 0 3 4 2 3 1 2 4 2 2 3 1 0 2 3 0 2 ,14.00000000,'4 3 4 3 0 4 4 3 4 0 1 1 2 1 1 3 4 1 1 4 3 4 1 4 2 4 4 3 2 3 4 3 1 3 1 4 2 1 1 0 1 0 3 4 0 1 3 0 0 0 2 1 1 4 3 4 3 4 4 0 4 4 4 3 1 2 0 2 4 3 1 3 1 3 1 ,8.00000000,1.01356839,1.027320881600,(WIRE (WIRE (XOR1 (OR1 (WIRE B) (NOT1 C)) (WIRE (AND1 D A)))))
17,12.86483000,22,'3 4 0 2 2 2 3 0 2 4 1 4 2 1 4 0 3 2 1 4 4 4 0 2 1 4 1 1 2 3 4 4 1 3 0 2 0 3 4 0 1 3 4 3 0 2 4 4 2 4 4 2 0 0 1 4 4 1 2 1 0 4 3 0 1 3 4 3 4 0 1 4 4 2 3 ,14.00000000,'1 1 3 2 3 3 2 2 1 0 2 2 4 0 4 4 4 0 0 2 1 2 0 4 0 4 0 4 0 4 4 2 2 3 2 3 1 1 3 1 4 1 4 0 3 2 2 3 1 4 1 4 1 0 2 4 0 2 2 4 2 0 0 3 2 3 0 4 2 3 3 1 0 0 3 ,8.00000000,1.06852659,1.141749071101,(WIRE (XOR1 (XOR1 (NOT1 (AND1 D A)) (OR1 (NOT1 C) (XOR1 C B))) (AND1 (WIRE (NOT1 C)) (OR1 (NOT1 C) (XOR1 C B)))))
18,12.95059500,14,'2 2 0 2 1 4 4 0 2 2 3 0 4 3 4 2 3 2 2 3 4 4 1 1 2 2 2 2 4 4 1 3 3 2 4 4 0 1 3 1 3 3 4 2 3 4 0 2 4 4 3 4 3 3 3 4 2 3 1 4 4 3 2 1 4 1 1 2 1 4 1 4 4 4 3 ,14.00000000,'4 3 2 0 4 3 4 3 2 4 2 4 4 0 2 0 0 2 0 3 2 0 4 1 1 2 2 4 2 1 3 1 0 4 1 0 0 0 3 2 2 3 2 0 1 4 2 3 0 3 4 2 4 0 4 1 4 2 4 0 1 4 2 2 0 4 4 1 3 1 0 4 3 4 4 ,8.00000000,1.03252319,1.066104145976,(NOT1 (XOR1 (WIRE (XOR1 (NOT1 A) (AND1 C D))) (XOR1 (OR1 (XOR1 A D) (XOR1 C B)) (XOR1 (NOT1 A) (XOR1 A D)))))
19,12.94271000,79,'0 4 0 3 3 2 3 2 4 1 3 2 3 2 4 3 1 3 3 2 0 4 0 4 1 4 2 3 4 0 3 4 2 4 4 3 3 3 0 4 4 4 2 4 4 3 4 4 4 3 4 1 3 4 0 4 1 3 3 2 2 3 4 4 2 4 2 4 3 2 4 4 3 4 2 ,14.00000000,'0 4 0 0 3 4 3 2 2 0 1 1 3 2 2 3 4 3 3 2 0 4 0 4 1 1 2 3 3 0 2 4 3 4 4 3 1 3 0 0 4 4 0 4 4 2 4 4 0 4 4 2 3 4 1 4 1 3 3 2 2 3 4 2 2 0 2 1 0 2 0 4 3 4 0 ,8.00000000,1.09343397,1.195597855899,(XOR1 (XOR1 (WIRE (AND1 (NOT1 B) (XOR1 D C))) (XOR1 (AND1 (NOT1 B) (XOR1 D C)) (AND1 (NOT1 B) (XOR1 D C)))) (OR1 (NOT1 (NOT1 (NOT1 D))) (XOR1 (XOR1 (XOR1 D C) (AND1 A A)) (AND1 (NOT1 B) (XOR1 D C)))))
