10,38.73915833,877,'100111110100111000011001100001011000001101011010011111110110001101111111101000110100111001011010111001000010101110111101101011011001001000101111111100100110110101000110000111110010010011111111100100101010101100110011101100101,44.00000000,'000101010100101010111111000110010100011101100001111100011010110111101000000011110011001101000011011101010010011101011101110001000010110001000101010111001110000110110111100111110010001110111101100011010011101100010001101110011,22.00000000,2.78252463,7.742443291596,(NOT1 (AND1 (NOT1 (OR1 (AND1 A C) (AND1 A C))) (NOT1 (OR1 (AND1 A C) (AND1 A C))))),(XOR1 (AND1 (NOT1 (OR1 (AND1 A C) (AND1 A C))) (NOT1 (OR1 (AND1 A C) (AND1 A C)))) (NOT1 (NOT1 (NOT1 (XOR1 D B))))),(AND1 (NOT1 (NOT1 (OR1 (OR1 A C) (OR1 A C)))) (AND1 (NOT1 (OR1 (AND1 A C) (AND1 A C))) (NOT1 (OR1 (AND1 A C) (AND1 A C)))))
11,38.17805667,1675,'000111110011111010111000000100111101011110100111000100110100001011011010100010100110011001010000101010000000101010101001110001011100111101000111100100111000110110011011101011110010011111010001110001000011111011110010000110001,46.00000000,'100000101001101010100100001010101100000111010110011001101101110101100000000001101100111011110100100110010111100000011010110100001100111000011001011111111010001100011111001000001010111111111101000001111001000111000110000010000,22.00000000,2.55527608,6.529435823434,(NOT1 (AND1 (OR1 (OR1 (NOT1 D) (XOR1 D B)) (OR1 (NOT1 D) (XOR1 D B))) (OR1 (OR1 (NOT1 D) (XOR1 D B)) (OR1 (NOT1 D) (XOR1 D B))))),(OR1 (NOT1 (NOT1 (XOR1 (XOR1 D B) (AND1 C A)))) (NOT1 (NOT1 (XOR1 (XOR1 D B) (AND1 C A))))),(NOT1 (NOT1 (AND1 (NOT1 (AND1 A C)) (XOR1 (AND1 C A) (OR1 A C)))))
12,38.65042833,1836,'101110011001110000100011100001110010111101100100100000111111101100101101110110001011101000100111111011100110001110111011010100000001111110110000111011100100011010100100101101111001110101101001110010010111110000100110010111110,46.00000000,'100101010000001110101111110000100001100100100111011011001111100110011010010010100110111101010111111010100000110001100000000101010000000101001100000011010101000000111010101111000111001011001011111010101010010011001111010000101,22.00000000,2.78694659,7.767071316529,(AND1 (XOR1 (NOT1 (AND1 (XOR1 A D) (XOR1 A D))) (XOR1 (OR1 (AND1 B B) (AND1 B B)) (AND1 (XOR1 C A) (WIRE A)))) (AND1 (OR1 (OR1 (AND1 B B) (AND1 B B)) (AND1 (NOT1 B) (WIRE A))) (OR1 (OR1 (AND1 B B) (AND1 B B)) (AND1 (NOT1 B) (WIRE A))))),(NOT1 (XOR1 (NOT1 (AND1 (XOR1 A D) (XOR1 A D))) (XOR1 (OR1 (AND1 B B) (AND1 B B)) (AND1 (XOR1 C A) (WIRE A))))),(OR1 (NOT1 (NOT1 (AND1 (XOR1 C A) (XOR1 C A)))) (NOT1 (NOT1 (AND1 (XOR1 C A) (XOR1 C A)))))
13,38.31849333,606,'000010110011001000111100000101000000101111110111111011000011111010001100110101001111001001111010110001101001100011011111011100000001001001001010011111000010010010010101001000111110010110111001111100101000001110001110101101110,43.00000000,'100001010111000101100001110101100100110100101100101101111110111110111111010001111010000000110010100001000000010110001111000000011000100110110100011101000110001100110100100110011001100111111000000110100100100110100100010010111,22.00000000,2.62245407,6.877265329955,(NOT1 (NOT1 (WIRE (OR1 (AND1 C A) (AND1 D B))))),(XOR1 (AND1 (XOR1 (XOR1 (AND1 C A) (AND1 D B)) (OR1 (AND1 D B) (OR1 A C))) (WIRE (OR1 (AND1 C A) (AND1 D B)))) (NOT1 (WIRE (OR1 (AND1 C A) (AND1 D B))))),(OR1 (NOT1 (OR1 (NOT1 (OR1 A C)) (WIRE (AND1 C A)))) (NOT1 (OR1 (NOT1 (OR1 A C)) (WIRE (AND1 C A)))))
14,38.32805167,1204,'110011100011110110101111101111100110101011000011011011001101010111101010001110000101000111111010011000010000001100110110111110110010011101100001010000100011001000111011100101100010000010010001010011010111011101111111001111010,45.00000000,'110110001111001110100010111001100111000111111111001000010100001111111110111101110010010110011100111000011110101000010110111001000100000000011010111101001111100111000111110101011001010000111010100110100001000101111001101100010,22.00000000,2.71917030,7.393887103971,(NOT1 (OR1 (WIRE (NOT1 (AND1 A C))) (WIRE (NOT1 (OR1 D B))))),(WIRE (XOR1 (OR1 (NOT1 (OR1 D B)) (NOT1 (XOR1 B D))) (WIRE (NOT1 (AND1 A C))))),(WIRE (AND1 (OR1 (NOT1 (OR1 D B)) (NOT1 (AND1 A C))) (AND1 (WIRE (OR1 C A)) (NOT1 (AND1 A C)))))
15,38.18001500,645,'111000000010101100011110100111100001100100101001111111101101000111101111111111001001000110010001000000011011111000110111100011110010010110001010100000111011010000000101011011111111110100101110100100101101000000000111111000000,44.00000000,'000101011010010011101011001010000101000110010011101011000011111000111001111000000000101100000101001111110111101101000001101001101101101110011111110111001000100111001100101101000000011110010011001101101011011100101011001111010,22.00000000,2.57374039,6.624139599792,(AND1 (NOT1 (NOT1 (AND1 (AND1 C A) (AND1 C A)))) (NOT1 (WIRE (NOT1 (XOR1 D B))))),(XOR1 (NOT1 (NOT1 (AND1 (AND1 C A) (AND1 C A)))) (NOT1 (WIRE (NOT1 (XOR1 D B))))),(AND1 (NOT1 (WIRE (NOT1 (XOR1 C A)))) (NOT1 (WIRE (NOT1 (XOR1 C A)))))
16,39.00324333,833,'101010100111001010001011011011110100100011000101001110011011111000101110111110001111100010110111111000101010000110001111001010010111010010111100100010111101111100000110100000010100111101100011101001001101100000110110100100101,44.00000000,'111101111110101001001011100000010100101101100101100000000011011100001100000011101110010111100010000111110101110100110010011010001101101000011101000101001100111001100010101000110011011101010100011000110111000001100001011000100,22.00000000,2.81294024,7.912632814131,(XOR1 (XOR1 (NOT1 (NOT1 (XOR1 D B))) (OR1 (OR1 (XOR1 A C) (NOT1 C)) (NOT1 (XOR1 D B)))) (XOR1 (OR1 (OR1 (XOR1 A C) (NOT1 C)) (NOT1 (XOR1 D B))) (OR1 (OR1 (XOR1 A C) (NOT1 C)) (NOT1 (XOR1 D B))))),(OR1 (XOR1 (NOT1 (NOT1 (XOR1 D B))) (NOT1 (OR1 (XOR1 A C) (NOT1 C)))) (XOR1 (OR1 (OR1 (XOR1 A C) (NOT1 C)) (NOT1 (XOR1 D B))) (OR1 (OR1 (XOR1 A C) (NOT1 C)) (NOT1 (XOR1 D B))))),(XOR1 (NOT1 (NOT1 (OR1 (XOR1 A C) (XOR1 A C)))) (XOR1 (OR1 (OR1 (XOR1 A C) (NOT1 C)) (NOT1 (XOR1 D B))) (OR1 (OR1 (XOR1 A C) (NOT1 C)) (NOT1 (XOR1 D B)))))
17,38.74350000,212,'111100100001110011111001000010110010011111111011101110001100100101101101010110011010011101111111011001110011000110111101110101111100111101110011110011100101001111001010001111110100100010000100011111111110111101111011011011110,44.00000000,'010011100000000010000101110001010001110001011101001100010010100011000001001010001000010100001110100000111101011101110100101000011110111110111101111011111101111001011100000100101010101111010100111111110111000010110010100001110,23.00000000,2.83545547,8.039807750000,(AND1 (XOR1 (NOT1 (OR1 (NOT1 C) (XOR1 C A))) (WIRE (XOR1 (WIRE B) (NOT1 D)))) (NOT1 (WIRE (AND1 (XOR1 C A) (XOR1 C A))))),(NOT1 (XOR1 (NOT1 (OR1 (NOT1 C) (XOR1 C A))) (WIRE (XOR1 (WIRE B) (NOT1 D))))),(NOT1 (NOT1 (WIRE (AND1 (XOR1 C A) (XOR1 C A)))))
18,38.61631167,586,'001011110110011000001011100101010100000101110100100101101110100011101010011101010111101111110110001100111100000111000111111110001100010011101010101010100001011011011000011010101111100101010001110011100101101011110110001100001,44.00000000,'001110010110101110011010100010111000001111110001011101010010100101011111011110111100001111000101110010010010101001101011001011100011011101001110011100000011010000010110100100100101011100101101111011100001110001101101111011010,22.00000000,2.75744778,7.603518262863,(NOT1 (NOT1 (AND1 (AND1 (OR1 A A) (OR1 A A)) (NOT1 (XOR1 A C))))),(WIRE (XOR1 (OR1 (XOR1 (OR1 B D) (AND1 B D)) (XOR1 (OR1 B D) (AND1 B D))) (AND1 (AND1 (OR1 A A) (OR1 A A)) (NOT1 (XOR1 A C))))),(AND1 (NOT1 (AND1 (AND1 (OR1 A A) (OR1 A A)) (NOT1 (XOR1 A C)))) (NOT1 (OR1 (NOT1 (XOR1 A C)) (NOT1 (XOR1 A C)))))
19,38.30141167,461,'010101111110010000000111100011111111101110100000010101011010010000111011010101011011100100100101111001011100011101001101010101010110010010001000011101100011110101010011001111010000110011010001001101011011110011001110011111010,44.00000000,'110010101011100000110011010100100100001101010000110111110010110011001010110101111101000111110000010001101001101111110000011011000111000100010001110110011101001101111111000010100010010000110101110101001001110010010010001000100,22.00000000,2.53905481,6.446799340531,(NOT1 (XOR1 (AND1 (AND1 (NOT1 C) (XOR1 A C)) (WIRE (NOT1 C))) (NOT1 (XOR1 (NOT1 D) (XOR1 A B))))),(AND1 (XOR1 (AND1 (AND1 (NOT1 C) (XOR1 A C)) (WIRE (NOT1 C))) (NOT1 (XOR1 (NOT1 D) (XOR1 A B)))) (XOR1 (AND1 (AND1 (NOT1 C) (XOR1 A C)) (WIRE (NOT1 C))) (NOT1 (XOR1 (NOT1 D) (XOR1 A B))))),(OR1 (OR1 (OR1 (WIRE (XOR1 A C)) (AND1 (NOT1 C) (XOR1 A C))) (AND1 (AND1 (NOT1 C) (XOR1 A C)) (WIRE (NOT1 C)))) (OR1 (OR1 (WIRE (XOR1 A C)) (AND1 (NOT1 C) (XOR1 A C))) (AND1 (AND1 (NOT1 C) (XOR1 A C)) (WIRE (NOT1 C)))))
