Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/experiment1.dta
   Population Size:,   90
Number of Generations:,   300
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Integer B

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
10,12.30485185,274,'4 3 3 4 3 1 1 4 4 1 1 1 3 2 4 3 3 2 3 0 3 4 1 1 1 3 2 4 4 0 3 3 0 0 1 3 2 2 1 1 1 0 1 4 4 2 2 0 0 2 0 4 4 3 2 2 1 1 3 3 2 3 4 3 2 4 3 0 2 1 4 4 2 4 3 ,28.00000000,'0 1 3 4 4 2 3 2 3 2 3 1 0 2 4 1 2 0 1 3 0 4 3 4 4 0 0 1 4 1 3 4 4 1 2 2 3 1 0 2 0 1 1 4 2 1 3 3 1 2 3 1 2 0 2 4 2 3 0 3 4 4 3 1 0 3 4 0 2 3 2 1 3 1 2 ,4.00000000,8.62962547,74.470435718793,(XOR1 (WIRE (XOR1 (WIRE (OR1 B B)) (AND1 (XOR1 A C) (XOR1 A C)))) (OR1 (OR1 (OR1 (XOR1 A C) (OR1 B A)) (OR1 (XOR1 A C) (OR1 B A))) (OR1 (OR1 (XOR1 A C) (OR1 B A)) (OR1 (XOR1 A C) (OR1 B A)))))
11,16.17362963,115,'2 2 3 1 3 0 3 0 4 4 3 1 2 2 1 3 2 4 3 1 3 0 1 4 4 1 2 1 4 3 3 1 2 3 2 3 0 2 3 2 1 0 2 2 4 4 0 4 3 1 4 3 3 1 3 3 0 2 4 1 2 3 3 1 0 4 3 4 1 4 4 4 0 1 4 ,29.00000000,'1 4 1 0 0 3 2 0 0 2 3 4 0 3 1 2 4 0 1 4 4 0 3 1 3 3 2 1 3 3 2 0 4 1 0 3 3 3 0 3 1 2 4 3 4 2 4 3 0 0 1 4 2 2 2 0 3 3 2 0 0 1 4 0 0 0 3 1 4 3 3 0 4 2 0 ,3.00000000,10.00406218,100.081260159123,(WIRE (OR1 (AND1 (XOR1 (WIRE C) (AND1 B A)) (WIRE (OR1 B A))) (AND1 (XOR1 (WIRE C) (AND1 B A)) (WIRE (OR1 B A)))))
12,14.19840741,176,'2 0 1 3 3 0 0 2 0 4 4 3 3 2 0 1 1 2 0 4 4 0 3 0 4 4 0 2 1 3 4 2 4 1 2 0 4 2 0 0 4 1 3 4 0 4 2 1 2 4 2 0 0 3 0 1 3 2 4 1 2 2 0 4 0 0 1 3 4 4 3 1 4 4 2 ,29.00000000,'1 0 3 0 0 4 4 0 2 3 0 1 3 1 0 4 0 3 2 3 4 4 2 2 3 1 1 0 3 1 1 1 3 0 2 0 0 4 0 1 0 4 4 1 4 2 1 3 0 1 3 0 0 0 1 3 4 1 0 4 2 1 1 2 1 0 4 1 4 1 3 1 1 0 0 ,3.00000000,9.30409335,86.566153019204,(AND1 (WIRE (XOR1 (WIRE (AND1 A C)) (AND1 (OR1 C A) (WIRE B)))) (WIRE (XOR1 (WIRE (AND1 A C)) (AND1 (OR1 C A) (WIRE B)))))
13,18.26588889,98,'2 4 1 0 4 1 4 1 3 0 2 4 1 3 3 1 3 4 2 2 3 0 0 0 2 4 4 1 3 3 4 2 2 2 3 1 2 3 3 4 4 0 1 0 4 3 1 4 4 1 1 2 3 2 3 1 1 3 4 0 4 4 3 0 3 2 4 3 1 0 0 2 3 1 4 ,28.00000000,'1 4 4 0 4 4 4 3 0 3 3 3 1 1 1 2 1 4 0 1 2 0 4 2 0 2 3 0 4 3 4 4 4 4 3 2 4 0 1 0 1 0 4 4 3 4 2 0 2 0 1 0 1 2 1 2 3 2 1 1 2 4 1 0 1 3 1 2 4 0 0 1 2 4 4 ,3.00000000,9.37510135,87.892525320988,(WIRE (AND1 (AND1 (WIRE (OR1 A B)) (WIRE (OR1 A B))) (XOR1 (WIRE (WIRE B)) (XOR1 (OR1 A B) (XOR1 A C)))))
14,12.97585185,124,'2 3 3 3 3 0 3 2 4 1 4 3 3 1 0 3 3 3 0 3 1 3 2 1 2 3 3 2 3 4 3 3 4 4 1 1 3 0 3 4 4 3 1 2 4 3 0 0 3 1 2 0 0 1 3 3 1 1 2 3 3 4 4 1 4 2 2 1 0 3 3 2 1 0 1 ,28.00000000,'0 3 1 0 2 4 2 1 0 0 1 1 0 2 3 1 2 1 0 4 0 1 2 3 0 4 4 2 2 0 3 0 4 2 0 0 4 4 3 2 4 2 2 1 1 4 2 2 0 0 1 4 0 4 2 4 4 1 3 1 3 1 0 1 1 2 1 2 3 4 1 3 4 0 1 ,4.00000000,9.00581346,81.104676126200,(XOR1 (OR1 (WIRE (XOR1 (XOR1 A C) (WIRE B))) (WIRE (XOR1 (XOR1 A C) (WIRE B)))) (WIRE (OR1 (XOR1 (XOR1 A C) (WIRE B)) (OR1 (WIRE C) (WIRE B)))))
15,14.55348148,154,'3 4 4 3 2 0 3 2 0 2 4 3 3 3 1 4 0 1 1 3 4 4 0 1 3 0 4 3 3 3 3 2 1 4 4 4 3 4 3 2 2 4 4 3 2 3 0 1 4 4 1 0 2 4 2 2 4 1 2 0 2 2 0 3 0 0 4 2 3 1 4 2 0 4 1 ,28.00000000,'2 1 0 0 0 0 1 4 4 0 2 3 1 4 2 0 4 1 3 3 3 2 3 2 2 4 0 2 3 2 3 1 3 0 3 3 2 1 0 0 4 3 2 1 4 2 1 0 4 4 0 1 1 0 4 1 2 1 4 0 0 0 0 3 3 2 0 4 4 4 3 2 4 1 4 ,4.00000000,9.44367076,89.182917508917,(AND1 (XOR1 (OR1 (XOR1 (WIRE C) (XOR1 A B)) (OR1 (OR1 A A) (XOR1 A B))) (WIRE (XOR1 (WIRE C) (XOR1 A B)))) (XOR1 (OR1 (XOR1 (WIRE C) (XOR1 A B)) (OR1 (OR1 A A) (XOR1 A B))) (WIRE (XOR1 (WIRE C) (XOR1 A B)))))
16,15.80851852,62,'2 4 0 3 2 3 4 2 4 1 0 3 4 2 1 4 1 3 4 4 4 1 0 4 4 2 0 4 0 0 1 2 0 2 0 3 0 0 3 1 0 1 2 3 2 2 0 0 0 1 4 2 1 0 1 1 0 4 1 1 2 2 0 2 3 2 3 0 0 3 3 0 4 2 0 ,29.00000000,'2 2 2 1 1 0 4 3 3 4 1 0 1 0 4 4 0 4 0 2 0 4 4 4 1 1 1 1 1 0 0 4 2 0 1 2 2 2 3 3 4 0 1 4 1 4 0 2 2 2 0 1 4 2 3 2 0 1 4 0 4 1 4 0 3 2 2 2 3 4 2 4 1 4 0 ,3.00000000,9.81837288,96.400445953361,(AND1 (AND1 (WIRE (WIRE (OR1 B C))) (WIRE (XOR1 (WIRE A) (AND1 C B)))) (AND1 (WIRE (WIRE (OR1 B C))) (WIRE (XOR1 (WIRE A) (AND1 C B)))))
17,16.13770370,6,'2 1 2 1 1 1 0 2 3 1 2 2 3 3 0 4 0 1 2 1 4 0 2 3 1 2 1 0 3 1 2 2 0 1 2 4 1 1 0 3 1 3 3 3 0 0 2 0 0 4 2 0 4 2 2 3 3 4 0 0 3 4 4 0 4 2 0 2 2 2 1 0 3 0 3 ,28.00000000,'4 0 3 3 1 1 2 3 1 0 3 4 1 4 4 3 1 0 2 2 1 1 4 3 3 0 2 3 0 1 2 3 0 2 4 1 0 4 0 4 1 1 2 4 0 3 0 2 3 1 1 2 0 4 3 0 4 2 1 0 0 3 2 2 2 0 1 4 4 1 2 4 2 3 3 ,4.00000000,9.77353952,95.522074727023,(XOR1 (WIRE (AND1 (XOR1 (WIRE A) (OR1 B B)) (XOR1 (WIRE A) (OR1 B B)))) (AND1 (AND1 (OR1 (OR1 B B) (WIRE A)) (OR1 (OR1 B B) (WIRE A))) (AND1 (WIRE (NOT1 C)) (WIRE (NOT1 C)))))
18,15.95644444,39,'4 3 3 2 2 0 2 2 1 0 2 3 3 3 3 1 4 1 0 0 2 0 0 1 2 4 4 4 1 1 2 3 4 3 1 1 2 4 1 1 1 2 2 2 4 0 0 3 0 3 2 2 2 3 1 2 3 4 3 2 2 0 4 4 2 2 2 3 0 3 3 1 2 0 0 ,28.00000000,'4 3 1 0 3 4 1 3 1 2 1 1 4 3 1 3 1 4 3 2 2 4 1 3 0 3 4 2 0 1 2 3 3 4 3 0 3 1 0 1 2 4 4 3 4 4 0 2 2 3 0 4 2 1 2 2 4 4 1 2 1 0 2 3 2 3 4 4 2 0 0 4 2 2 3 ,3.00000000,9.72775864,94.629288098765,(XOR1 (WIRE (OR1 (OR1 (WIRE B) (WIRE B)) (OR1 (WIRE A) (AND1 C C)))) (WIRE (XOR1 (OR1 (WIRE B) (WIRE B)) (XOR1 (OR1 C C) (WIRE A)))))
19,14.01285185,190,'3 2 4 4 0 1 0 1 4 0 0 1 2 1 0 3 0 1 0 0 1 2 2 0 0 3 0 2 1 4 0 2 0 3 0 2 3 3 1 1 2 3 3 1 3 3 2 3 0 4 4 4 0 4 3 2 3 0 3 2 1 1 0 4 3 3 3 1 4 3 0 0 0 1 2 ,27.00000000,'3 4 2 4 2 3 2 0 0 2 0 3 2 1 1 0 2 4 1 0 4 0 1 2 0 4 1 4 3 1 2 2 2 0 4 2 3 3 0 4 0 1 1 1 0 2 4 3 2 2 2 3 1 3 4 1 2 0 2 0 2 4 3 4 1 3 0 0 1 1 1 3 0 1 4 ,4.00000000,8.65101694,74.840094089164,(AND1 (XOR1 (AND1 (OR1 (OR1 A A) (XOR1 A C)) (AND1 (XOR1 A B) (XOR1 A B))) (WIRE (AND1 (XOR1 A C) (OR1 A A)))) (XOR1 (AND1 (OR1 (OR1 A A) (XOR1 A C)) (AND1 (XOR1 A B) (XOR1 A B))) (WIRE (AND1 (XOR1 A C) (OR1 A A)))))
