Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   ./data_files/experiment2.dta
   Population Size:,   200
Number of Generations:,   1000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Binary

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
10,13.03776000,953,'001011100101111110111001110000100110100011011111000110110101110101000010101111100110110111101110110111001110100011100000111111011110000100000111010000100001011000100111111111001100001001110000110111101010010111001110001011100,15.00000000,'110001011101110111100001110101101010000011011000011011100100111000011000111001001101000101110000010011110001111010000010011010000001110000100101110110011100110111110010000111011010011000101000001111101011001000001111010000011,8.00000000,1.09596724,1.201144182400,(OR1 (XOR1 (XOR1 (NOT1 (OR1 A C)) (XOR1 (XOR1 B D) (OR1 C B))) (OR1 (OR1 (OR1 C B) (XOR1 B D)) (OR1 (OR1 A C) (XOR1 B D)))) (XOR1 (XOR1 (NOT1 (OR1 A C)) (XOR1 (XOR1 B D) (OR1 C B))) (OR1 (OR1 (OR1 C B) (XOR1 B D)) (OR1 (OR1 A C) (XOR1 B D)))))
11,13.33249500,758,'001011100110011001100110101010111010110101110110101001100000000111100111000100010111011110100010100010100101101111111101000001110001110111010011100011011100101100010010010111000101010010010011000101100000100100011000011011110,31.00000000,'111000001111010010000001000001010001100001100010101101110100110010011100100101101011001100011010111011100110010001110110000110100110010100011110110100001000100111111011010111111011000111000001001011111101011010101011111001011,8.00000000,2.16711146,4.696372074976,(NOT1 (XOR1 (OR1 (AND1 (OR1 B A) (XOR1 B D)) (AND1 (OR1 B A) (XOR1 B D))) (XOR1 (OR1 (AND1 A B) (NOT1 C)) (NOT1 (AND1 A B)))))
12,13.05382500,356,'110010000111100100011001011101011111111010001001111101100100111101010100100010010100110100011010110000111011000010010101111111100110110001101100101111101010111011100000001000001111001010101000011111011000000100010101100111011,15.00000000,'101000001100101011011010110001000010110000111100111010001111010100011011111111100111000001000100010010111100011001100101011100000110011001010011100111001010111010111000001111001010101010110100101000000001100001111111101110000,8.00000000,1.12758497,1.271447869373,(AND1 (AND1 (OR1 (NOT1 (OR1 C C)) (XOR1 (AND1 B C) (WIRE D))) (NOT1 (AND1 (XOR1 C A) (WIRE D)))) (WIRE (NOT1 (AND1 (XOR1 C A) (WIRE D)))))
13,13.51814000,704,'000110101110110100110000110011001100111111110011000011011111000011110100100101110000100001001000111100100001001110001000110100110011010110001000110101100000011000101111011001110101110011011010000011010110110010111110011111010,34.00000000,'110000011110110111010110100011010110111011000010111111100010001000011101101110010111011010110010001110110001110111100000001111001111100101100010100100001100000010010101011001011000110011001001111000000000010111111011111011100,8.00000000,2.69478217,7.261850940399,(WIRE (XOR1 (OR1 (OR1 (AND1 A B) (OR1 C C)) (OR1 (AND1 A B) (OR1 C C))) (NOT1 (AND1 (XOR1 D B) (OR1 B A)))))
14,13.11113000,811,'110000000011010111100001110101010100001011111000011001001010111111000001111101000101111011111101100010010110110111010001111000001001101000001111110100101101010101001101110000000110110000100010110000010110010110000011110010111,30.00000000,'011000000000000011000110010000000010110111011110011111111110111110111101011001000011101001110111111100100010011110111101110100001000110110000001000111001001100000010110001110001111111100001100000011101000000001011111110101100,8.00000000,1.60023440,2.560750123098,(XOR1 (AND1 (OR1 (OR1 (OR1 A B) (AND1 B A)) (OR1 (OR1 A B) (AND1 B A))) (AND1 (NOT1 (NOT1 D)) (NOT1 (NOT1 D)))) (NOT1 (XOR1 (OR1 (OR1 A B) (AND1 B A)) (OR1 (AND1 B A) (XOR1 A C)))))
15,13.37274000,554,'110101000111010111011110100000001001111000011100101110111000000011111101111000110111100101101101111111111101011001110000100011111010111101001100010100100010011000001111101001011101101000001010100000011100001011000011100001010,34.00000000,'110101010000000100101110000100011100101001111001111001000000100010101010011111001110110111001010000111000100001100100111011111100100000011011111000011101011001011001110100011100000100111010111100011011101110011100000110010011,8.00000000,2.88082018,8.299124892400,(OR1 (XOR1 (NOT1 (OR1 (WIRE C) (AND1 B A))) (AND1 (AND1 (OR1 A B) (XOR1 D B)) (AND1 (OR1 A B) (XOR1 D B)))) (XOR1 (NOT1 (OR1 (WIRE C) (AND1 B A))) (AND1 (AND1 (OR1 A B) (XOR1 D B)) (AND1 (OR1 A B) (XOR1 D B)))))
16,12.94052000,932,'001000001010101011001011100111100111110100100100110100001011010010010101000010100010001100001100111011001111111111110010100101101110101111000100001011110100100001100111011100011101110111100001011111110101000000010010111101110,15.00000000,'111010000000100110010101101010101010001111111001000000000001000101101010101000011101101010100111000101001000110000001000111000110000101101111000111111100100010100101011001010011011110100100011100101110101001001011000001101101,8.00000000,1.00602790,1.012092129599,(XOR1 (OR1 (NOT1 (XOR1 (OR1 B A) (XOR1 B D))) (AND1 (AND1 (XOR1 B D) (XOR1 B D)) (XOR1 (XOR1 B D) (WIRE C)))) (OR1 (AND1 (XOR1 (XOR1 B A) (WIRE C)) (NOT1 (WIRE C))) (AND1 (XOR1 (XOR1 B A) (WIRE C)) (NOT1 (WIRE C)))))
17,13.11426000,848,'111100011001111110001011100101111011101011110111100100000100100011001100001101010100111001100100000110110101101110111100010110000111100100010111100000001011100101001010110000011100011000000111100011110000000001011011101110100,30.00000000,'000010000010000101110100100001110100010101011011111001100101110001010111000010000000000111101010100111010011101101010111010010100111001000101010110111011010000000100011100111000100010010110111001011001101100010111001001101111,8.00000000,1.52274576,2.318754652398,(AND1 (OR1 (AND1 (XOR1 (WIRE C) (OR1 A D)) (XOR1 (WIRE C) (OR1 A D))) (NOT1 (XOR1 (XOR1 B D) (OR1 A D)))) (NOT1 (XOR1 (XOR1 (XOR1 B D) (OR1 A D)) (XOR1 (WIRE A) (OR1 B C)))))
18,12.94831500,498,'011011110110100100010100100011001001000111010011010000101101010111100010001001001001010100100100010001000010011000001000100000000110011100001010110110001100101011010100011011000001100110100111001110000001000110010100100011000,15.00000000,'111110110000000000101001100110111010011111111111111000111010100110100110101000010000001001010100110111101001001110100000011100011101101010000101101110001110111110100100110011111000111101110011110110110010101100011001010100000,8.00000000,1.09638664,1.202063660775,(XOR1 (OR1 (AND1 (AND1 (OR1 D B) (XOR1 C A)) (XOR1 (XOR1 B A) (XOR1 C A))) (NOT1 (XOR1 (XOR1 B A) (XOR1 C A)))) (OR1 (NOT1 (NOT1 (OR1 D D))) (NOT1 (NOT1 (OR1 D D)))))
19,13.11282000,985,'000011101010001100100110101011011101001011101110010011100011101001101100001011001111001011010000010100001100001110011111001011010000011000001001001010101111000000101100101111001100000111100000001001100100101110111000101100000,30.00000000,'101100101001010110111010101011001111000010111101111011011011101100100100010001000100110011001101000011000101001110100111100100001100110010110111110000101010010000100001011011010101101101110110001100100000011110011111110011100,8.00000000,1.11533925,1.243981647599,(XOR1 (OR1 (NOT1 (XOR1 (XOR1 C B) (AND1 A D))) (XOR1 (WIRE (AND1 A B)) (AND1 (AND1 B D) (AND1 D D)))) (AND1 (WIRE (AND1 (AND1 B D) (AND1 D D))) (NOT1 (XOR1 (XOR1 C B) (AND1 A D)))))
