Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   data_files/experiment2.dta
   Population Size:,   200
Number of Generations:,   1000
                 Phi 1:, 0.800
                 Phi 2:, 0.800
                  Vmax:, 3.000
Mutation Percentage:, 3.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Integer B

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
10,13.38148500,50,'0 2 3 1 2 2 3 3 2 2 2 3 1 4 3 0 0 0 3 2 0 2 1 4 3 2 1 4 3 0 4 1 1 2 3 0 4 3 3 1 0 1 3 0 4 0 4 3 3 0 1 0 4 3 1 3 1 1 1 2 1 4 4 3 2 0 1 2 0 2 0 0 2 3 1 ,15.00000000,'4 1 4 1 4 4 3 3 2 0 3 1 1 1 4 3 1 3 4 4 2 4 0 1 4 0 0 4 4 0 2 3 0 2 4 3 0 2 2 0 4 0 4 1 2 1 1 4 0 2 0 0 4 0 3 2 3 0 3 2 0 3 2 0 0 4 2 4 2 2 2 0 2 4 3 ,8.00000000,1.10516704,1.221394194773,(XOR1 (OR1 (OR1 (AND1 (WIRE C) (NOT1 D)) (AND1 (WIRE A) (WIRE A))) (OR1 (AND1 (WIRE B) (WIRE C)) (AND1 (WIRE C) (NOT1 D)))) (NOT1 (AND1 (XOR1 (NOT1 D) (NOT1 B)) (OR1 (WIRE C) (NOT1 D)))))
11,15.24598000,287,'3 3 3 4 1 0 1 0 1 4 0 4 4 2 4 1 1 3 2 1 2 4 4 1 2 1 1 0 1 3 2 1 4 3 3 2 0 2 1 1 4 1 2 1 2 0 0 0 2 3 4 3 1 0 2 2 3 4 3 3 1 1 0 1 0 3 2 3 4 1 0 4 2 1 0 ,34.00000000,'1 3 0 3 0 4 1 0 0 3 2 4 3 1 3 1 3 1 2 4 2 2 0 2 1 1 4 1 0 4 1 4 4 3 1 2 2 4 3 2 2 2 3 2 4 2 0 3 0 3 2 0 4 1 1 1 4 1 3 1 2 1 4 0 4 2 1 3 3 3 4 2 3 4 4 ,8.00000000,5.71593770,32.671943839603,(AND1 (XOR1 (OR1 (WIRE (AND1 A B)) (OR1 (XOR1 A C) (XOR1 A C))) (OR1 (NOT1 (OR1 B A)) (WIRE (WIRE D)))) (XOR1 (OR1 (WIRE (AND1 A B)) (OR1 (XOR1 A C) (XOR1 A C))) (OR1 (NOT1 (OR1 B A)) (WIRE (WIRE D)))))
12,13.63182000,211,'3 3 0 3 3 3 2 1 4 0 2 1 1 1 1 0 2 2 2 3 2 1 4 0 3 3 3 4 3 4 0 1 0 0 1 3 4 2 4 0 1 1 2 0 0 0 1 3 4 3 2 4 0 0 4 0 1 2 0 2 3 4 1 3 1 4 0 0 4 3 2 4 3 1 3 ,15.00000000,'1 4 4 1 3 4 4 3 2 1 3 3 0 0 2 1 4 4 2 0 1 4 1 2 2 4 1 1 2 3 3 3 1 3 1 0 3 0 1 4 4 1 0 4 3 0 0 0 1 3 0 3 4 3 1 3 3 1 1 2 0 3 4 1 4 3 0 3 1 4 4 1 2 1 1 ,8.00000000,0.94522669,0.893453487603,(OR1 (OR1 (AND1 (AND1 (WIRE D) (OR1 B B)) (NOT1 (AND1 D D))) (AND1 (NOT1 (AND1 D D)) (NOT1 (XOR1 C B)))) (NOT1 (XOR1 (XOR1 (OR1 B B) (OR1 A C)) (AND1 (WIRE D) (OR1 B B)))))
13,13.79894500,880,'4 1 1 2 1 3 0 3 4 0 1 4 1 0 4 0 0 3 2 0 2 1 2 4 3 1 0 1 0 2 1 1 0 0 0 0 0 2 1 0 4 2 1 3 4 2 3 3 2 1 3 3 0 1 4 0 3 1 2 0 1 3 4 2 0 3 3 1 4 1 0 2 0 2 0 ,32.00000000,'3 1 2 1 4 0 1 2 3 1 1 1 2 4 0 4 4 0 2 1 3 3 3 3 4 0 0 0 4 1 3 3 4 3 3 2 4 4 4 1 0 3 0 0 4 4 2 1 4 3 3 3 4 4 2 4 4 4 2 4 2 0 4 3 1 4 1 3 1 1 3 0 2 2 4 ,8.00000000,2.10297216,4.422491886973,(XOR1 (WIRE (OR1 (WIRE (OR1 A B)) (XOR1 (WIRE C) (XOR1 A D)))) (WIRE (XOR1 (NOT1 (XOR1 A D)) (AND1 (XOR1 A B) (WIRE C)))))
14,15.55534000,163,'1 4 1 2 0 4 4 1 0 0 2 3 3 1 2 2 1 4 0 2 4 0 3 3 2 1 1 4 0 0 2 1 4 1 1 1 2 2 3 4 3 4 0 2 0 3 1 1 0 1 3 3 2 2 2 0 4 2 0 3 2 2 3 0 4 3 0 1 0 1 2 4 3 0 0 ,33.00000000,'1 0 1 4 3 1 1 0 0 2 1 3 2 3 2 4 1 1 2 0 3 3 0 0 4 0 4 0 3 1 1 2 3 3 0 4 3 1 0 4 4 4 2 0 2 2 2 1 1 3 1 1 3 3 1 1 2 3 1 4 1 2 2 0 3 0 3 2 3 0 3 3 3 1 4 ,8.00000000,6.24479443,38.997457484400,(WIRE (NOT1 (XOR1 (AND1 (NOT1 D) (OR1 B A)) (OR1 (AND1 A B) (XOR1 C A)))))
15,13.55426000,29,'3 2 2 3 0 2 1 3 2 0 2 3 2 0 2 1 2 3 4 3 0 4 0 4 4 3 3 0 2 0 2 3 3 4 1 1 2 4 4 3 3 3 1 0 3 0 1 4 1 0 0 2 1 2 2 0 1 2 4 0 0 4 3 0 1 3 3 3 1 1 1 4 4 0 4 ,15.00000000,'4 2 1 3 0 1 0 2 1 2 4 3 0 3 4 2 0 3 0 3 3 3 3 1 0 0 2 4 4 2 3 2 3 1 2 0 3 3 3 1 3 0 4 4 3 2 4 1 1 3 0 3 4 0 1 2 2 3 3 4 2 2 0 0 3 2 3 2 0 3 2 1 4 2 2 ,8.00000000,1.11627320,1.246065852400,(WIRE (XOR1 (WIRE (XOR1 (NOT1 C) (NOT1 D))) (OR1 (AND1 (NOT1 D) (NOT1 B)) (AND1 (NOT1 C) (WIRE A)))))
16,13.45112000,23,'2 4 2 0 3 0 3 0 2 1 2 0 1 3 4 4 0 1 4 0 1 0 0 1 2 1 1 1 3 1 1 3 2 4 4 0 1 4 0 2 0 2 0 1 3 2 3 4 0 2 1 1 1 1 2 1 2 2 1 4 0 4 2 0 1 1 2 4 3 0 3 2 4 4 0 ,15.00000000,'1 1 4 0 4 1 2 3 3 2 3 4 4 2 0 1 0 3 4 3 4 3 4 0 3 3 2 2 1 2 0 1 2 2 0 4 0 4 4 1 0 1 2 0 4 2 4 0 4 0 1 1 4 4 1 4 4 2 3 0 2 3 4 2 4 2 3 4 1 1 3 0 0 3 3 ,8.00000000,1.14093854,1.301740745601,(NOT1 (XOR1 (AND1 (OR1 (XOR1 B D) (NOT1 C)) (OR1 (AND1 A D) (AND1 B C))) (NOT1 (OR1 (NOT1 C) (NOT1 C)))))
17,13.48508500,261,'0 3 0 3 1 0 2 1 4 1 3 4 2 1 1 2 0 0 2 1 4 0 3 0 3 0 2 1 2 4 1 2 3 4 1 1 0 2 0 0 0 0 1 2 1 0 0 4 4 4 2 3 0 3 1 4 2 4 1 2 2 4 4 0 2 2 4 3 1 3 2 1 0 4 3 ,15.00000000,'1 2 2 4 0 4 0 2 0 1 1 4 4 4 1 3 2 3 1 1 3 1 2 1 1 3 2 4 3 1 2 4 2 1 2 3 0 1 0 1 0 3 0 2 4 3 4 0 1 0 0 0 3 4 3 4 0 3 1 0 3 2 1 1 3 2 1 3 3 0 1 4 2 1 4 ,8.00000000,0.96882276,0.938617542777,(XOR1 (WIRE (AND1 (AND1 (XOR1 C B) (AND1 A D)) (AND1 (XOR1 C B) (AND1 A D)))) (NOT1 (OR1 (XOR1 (XOR1 C B) (AND1 D B)) (AND1 (AND1 A D) (XOR1 B D)))))
18,13.48965500,67,'2 1 3 4 3 0 1 1 1 1 2 2 3 1 3 3 2 2 1 2 2 1 0 4 0 3 0 4 0 0 3 0 3 1 0 0 4 1 1 0 2 1 4 1 4 1 4 0 3 3 2 3 2 1 3 4 0 2 1 1 0 1 1 2 4 2 4 4 0 2 0 4 4 4 1 ,15.00000000,'1 2 3 1 0 1 4 1 1 1 4 0 1 1 3 3 4 4 1 2 0 2 3 1 2 1 0 0 0 4 4 0 1 1 1 4 2 2 4 2 1 4 3 0 0 3 1 0 2 1 1 1 1 0 1 1 2 0 0 2 3 4 1 4 0 4 3 1 4 3 4 3 1 0 1 ,8.00000000,1.05970420,1.122972980975,(OR1 (AND1 (AND1 (NOT1 (AND1 A D)) (NOT1 (NOT1 B))) (XOR1 (AND1 (WIRE D) (WIRE C)) (NOT1 (AND1 A D)))) (NOT1 (OR1 (NOT1 (NOT1 B)) (XOR1 (AND1 A D) (WIRE C)))))
19,14.54615500,272,'1 0 0 0 4 1 2 0 4 4 1 1 3 3 2 3 3 0 2 3 4 0 2 1 2 2 0 3 4 0 4 1 1 2 3 2 4 4 1 2 4 2 0 2 1 2 3 4 0 3 4 3 1 0 2 0 0 4 1 3 0 0 0 1 3 2 2 2 2 4 4 4 0 3 1 ,33.00000000,'1 4 1 4 1 4 2 0 3 1 3 0 1 3 4 0 1 4 3 4 0 1 1 1 0 1 0 1 2 3 0 3 1 0 3 2 2 4 0 2 1 0 1 2 0 4 1 4 4 2 0 4 0 0 3 1 3 2 2 2 3 3 3 3 4 4 1 0 1 2 2 2 3 3 2 ,8.00000000,4.69438385,22.037239715977,(AND1 (XOR1 (OR1 (AND1 (OR1 A B) (NOT1 D)) (AND1 (OR1 A B) (NOT1 D))) (NOT1 (OR1 (AND1 B A) (XOR1 C A)))) (XOR1 (OR1 (AND1 (OR1 A B) (NOT1 D)) (AND1 (OR1 A B) (NOT1 D))) (NOT1 (OR1 (AND1 B A) (XOR1 C A)))))
