Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   experiment1.dta
   Population Size:,   90
Number of Generations:,   300
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Binary

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
10,8.10448148,245,'101100011100101100111111110111000111101001001110011100111111110100101011111111010111101010010111110111111000101111011001001110011101101001110001001110000110100100010001010010111011001100000001111100111111010111000000001001001,28.00000000,'101010000111111100010010000111011110000000010101100010101011101111110000010100011100000000100101111011010101111011000010011111011101000011101101111101111001110000101111110111001000100000111110010100001111110100011011111011101,3.00000000,4.70126956,22.101935471880,(AND1 (AND1 (AND1 (WIRE (OR1 A B)) (WIRE (OR1 A B))) (AND1 (WIRE (OR1 A B)) (WIRE (OR1 A B)))) (WIRE (WIRE (XOR1 (XOR1 B A) (NOT1 C)))))
11,13.04481481,201,'111000011011101010011001101011011111110101001000111101000101010010000100100100110101101011001111001111100011111011101100100000000001111001100011011010011100010011111111101100111010011001011110110110111011111011001111110000100,29.00000000,'001001100001011110011011111011100010010000110110101000000000001000000111100000010111101001010001100100100010100001101010101100110011110010010010010000010011111001111110010101110111011001101100011100111101001101011001011011011,3.00000000,8.59778993,73.921991632373,(WIRE (AND1 (AND1 (XOR1 (AND1 A B) (WIRE C)) (OR1 (OR1 B A) (OR1 B A))) (AND1 (XOR1 (AND1 A B) (WIRE C)) (OR1 (OR1 B A) (OR1 B A)))))
12,12.76629630,262,'101110000010111001001011001000010010101000101110000011111010011011101101001000100010011010011110101101101110000101100110000101111111110000000110110011110100001000111011110111001100000101011110101111110111110110111101001010010,29.00000000,'100000101111101100110101010100110000111001011110010000011010110101000000101100100001100010110111000100001101110101110001010010111011110100110001011001110001100001110110100001000010000110011000100111100000100101100011011010001,4.00000000,8.22244293,67.608567764060,(WIRE (OR1 (AND1 (XOR1 (OR1 C C) (AND1 A B)) (WIRE (OR1 B A))) (AND1 (XOR1 (OR1 C C) (AND1 A B)) (WIRE (OR1 B A)))))
13,9.71796296,183,'110000101011110011001010101110010000111011000110010100001111101100010110000011111000001011011010000110110001101100100000110011111100100100100101011010011011111111000000111110101110101000001100010000110001111111100101110110000,28.00000000,'011010000111100100000001111001011001111101011011000101101111010110001110001010111001100110111000010010011110001010001001101011100100010000111101010001110001101010000100001100000000110011000100010000111000001100111000000000110,3.00000000,6.43470707,41.405455109739,(OR1 (AND1 (XOR1 (OR1 (AND1 C A) (AND1 B C)) (WIRE (AND1 B A))) (XOR1 (OR1 (AND1 C A) (AND1 B C)) (WIRE (AND1 B A)))) (AND1 (XOR1 (OR1 (AND1 C A) (AND1 B C)) (WIRE (AND1 B A))) (XOR1 (OR1 (AND1 C A) (AND1 B C)) (WIRE (AND1 B A)))))
14,13.24222222,135,'000111000011110100010010001011000001100010011001011111110010100100010110001100011111110101110011011010001100011110001111111000111110000000011001000011011000101110111101100101110111111101100001000100000110100011011011001101101,28.00000000,'000111100010010111001110010101110100011001001111111000111111010101111000000100101010110011101100001001111000001011011111111011000101111011000100000001101100101001100101001001000010111000100010110001111110000101100100000101111,3.00000000,8.31102317,69.073106172840,(XOR1 (OR1 (WIRE (XOR1 (XOR1 A B) (OR1 C C))) (WIRE (XOR1 (XOR1 A B) (OR1 C C)))) (OR1 (WIRE (XOR1 (XOR1 A B) (OR1 C C))) (AND1 (OR1 (WIRE B) (OR1 C C)) (OR1 (WIRE B) (OR1 C C)))))
15,13.24477778,51,'010001111000111110001011011110100101000010101011011110000110000010110101001100101111001101101001001010011101011111001010101101011111001101111011110111100111101001110011111011100011001110101011000110111001110110100011110110001,26.00000000,'110000000110100010010100111110111001011001100000000001111001000000010000001001100010011110000110110111101110000100001001100001010001001111101011000001011010000001111001111111111010101000101000101000111111000001011011110001111,3.00000000,8.16596202,66.682935691358,(AND1 (XOR1 (AND1 (AND1 (WIRE B) (OR1 A C)) (AND1 (OR1 A C) (AND1 A C))) (OR1 (AND1 (OR1 A C) (AND1 A C)) (AND1 (WIRE B) (OR1 A C)))) (XOR1 (AND1 (AND1 (WIRE B) (OR1 A C)) (AND1 (OR1 A C) (AND1 A C))) (OR1 (AND1 (OR1 A C) (AND1 A C)) (AND1 (WIRE B) (OR1 A C)))))
16,10.87992593,234,'010001010001011100010111011110101011000101000110011000110111011111111010010100001001010100011001001110101110100100111001000000010000100101110101010101011111111101110000111111000000100001011011011010000011111000010111011101001,27.00000000,'001110010100101110000110000001010001010000101100011010111011100101000100101101111111011110000000101000111101100100000000111111001100111011110001000010001010110011101111100010101100111010100111011001000110101110010100110000100,5.00000000,7.04071945,49.571730364883,(WIRE (AND1 (NOT1 (XOR1 (XOR1 B A) (WIRE C))) (OR1 (OR1 (WIRE C) (AND1 A A)) (WIRE (XOR1 B A)))))
17,13.90114815,286,'111011110111000101111101110110110000101001110101100000001001000011101000111011001110011111101011010111001100001001101101000100001001101001100011010111100011101110011101111001110001000000011001010110011011100111010101001000110,29.00000000,'111101101000111110011110001101110010110011110011001100011001000110110101101101011011100000100010011111100001011011011110101111011011001110100111100010100011100100011100010111000000000111010111010000101101100000010110110101111,4.00000000,8.67264572,75.214783866942,(WIRE (WIRE (XOR1 (AND1 (AND1 B B) (OR1 C A)) (AND1 (AND1 C A) (AND1 C A)))))
18,10.81814815,287,'001001101000100000001110111010111000000101001111110010100101001011001100011101101111011000001110101110100001010111011101000010110010000111101000101011111111100011000011001100011011000101101011111100001110000100101010111100000,29.00000000,'111011110100101000000001011111000100010100001010111101100110011010000010010000111111111001111000000111111111100101001011001100101011111101110111101011101010110110011101010010011011010010111101101000001110111010010100100001111,3.00000000,7.28304247,53.042707681756,(AND1 (AND1 (WIRE (XOR1 (AND1 C C) (AND1 A B))) (AND1 (OR1 (OR1 A A) (AND1 B B)) (OR1 (OR1 A A) (AND1 B B)))) (AND1 (WIRE (XOR1 (AND1 C C) (AND1 A B))) (AND1 (OR1 (OR1 A A) (AND1 B B)) (OR1 (OR1 A A) (AND1 B B)))))
19,13.95951852,254,'100011110000110101000110111100111100111111110100101000110000011000000011001000011011110011110110000101111000101001010000100111101011011000110011011111000101100100110100101101010011111111011100010111001111111011011111111010011,29.00000000,'011111100100000111001000100001100000011011100100111011101101110111011011111100011000110001100001011011000001001101101110111101111010101011110110010011010101000100011000101111100001111110011101001001010000000010010001110111011,5.00000000,8.68342558,75.401879768176,(WIRE (XOR1 (AND1 (WIRE (AND1 A B)) (WIRE (AND1 A B))) (WIRE (AND1 (OR1 C C) (OR1 B A)))))
