Centro de Investigación y de Estudios Avanzados del IPN
Design of Combinational Logic Circuits using Particle Swarm Optimization
Department of Electrical Engineering - Computing Section
Erika Hernández Luna  eluna@computacion.cs.cinvestav.mx

Statistics of the results obtained in all program runs

     Processed File:,   experiment2.dta
   Population Size:,   200
Number of Generations:,   1000
                 Phi 1:, 2.000
                 Phi 2:, 2.000
                  Vmax:, 4.000
Mutation Percentage:, 2.000
  Number of Gates:,   5
        Cardinality:,   10
Rows in the Matrix:,   5
Columns in the Matrix:,   5
       Neighborhood:,   3
   Representation:, Binary

Run,Mean Fitness,Generation,Best Chromosome,Fitness,Worst Chromosome,Fitness,Standard Deviation,Variance, Expression
10,13.12071500,946,'111000001011110100010110001110100001011111010110011011001100001110010101010011101101000011100100011110011100011111110011010000010010001001100111100101111101011100100101010000101111010001111111000010101001000010011010111011111,15.00000000,'010110011110100000011110000111100001010100011000111111111111010110001111001111110000111101101100001101001100100111110011110001000000001110110110000100100001100001100101100011011101111100001110011011110111110100110101111100100,8.00000000,1.01727228,1.034842888776,(NOT1 (XOR1 (WIRE (WIRE (OR1 C A))) (AND1 (AND1 (OR1 C B) (OR1 B A)) (AND1 (XOR1 D B) (OR1 C B)))))
11,13.44528000,615,'000001110011111111100110101010101100101111011000001101101001101010011110011111111110010011011001110011100110100100001110111100010001010100000110011110100011111111000001001000100001010010011110111011000010011100101011100000011,33.00000000,'101001001101000000100001101100010111010111010101101110111011010110101001011011101001000100100101001011100100011000010100001100100011111010011101100100110101111101100001011001111110010101000101001011110110010101100100110100000,8.00000000,2.55131059,6.509185721598,(WIRE (NOT1 (XOR1 (AND1 (OR1 A B) (NOT1 D)) (OR1 (AND1 A B) (XOR1 C A)))))
12,13.21656000,434,'111000110110111110110011100011000110010110011010000100000110101010110011011101001111010000011111011010101000001100100101101111100101111001000000000001011111110010111011111110010110000011110001010101111110101111001011110000010,15.00000000,'010101001110100011101101101111101110000111101010011110110110110111101010111110101110011010111011100000001000100011101110110100010011010110001101010001000000111100111011011010101010011110001110101110011101010111000000001001000,8.00000000,1.04692013,1.096041766400,(OR1 (AND1 (AND1 (WIRE (XOR1 B D)) (XOR1 (XOR1 B D) (OR1 C A))) (WIRE (OR1 (OR1 D A) (OR1 C A)))) (NOT1 (XOR1 (AND1 (OR1 C A) (OR1 B C)) (AND1 (XOR1 B D) (XOR1 B D)))))
13,13.36132500,776,'000001001110011100111001111110000101010001000001101101010110011011101010100001010010110000111001000101000110111011101010100010011111000100100001001101100101111000000100011010101010001110001011000000011101011100111101001011001,33.00000000,'100011000001011111101011110101101011001101110011010001111010111000010000000100110110010011111101110111001011111010111001100111010010100000011100100110001000000100111100011111010011000110111000001010000101110010111010001001100,8.00000000,2.36990279,5.616439244375,(OR1 (XOR1 (OR1 (AND1 (XOR1 B D) (OR1 A B)) (AND1 (XOR1 B D) (OR1 A B))) (AND1 (NOT1 (AND1 B A)) (WIRE (NOT1 C)))) (XOR1 (OR1 (AND1 (XOR1 B D) (OR1 A B)) (AND1 (XOR1 B D) (OR1 A B))) (AND1 (NOT1 (AND1 B A)) (WIRE (NOT1 C)))))
14,12.95079000,679,'011101101111001001110111101010010101011100010100010111010001010011000100011111100010111011010001100011001001000100000110101001001100101101001010011101000111010111010000110000000110011111101011000010001000111100110111000001100,15.00000000,'101110001000010110001101010111110001001001100000100110011100111110001110001110101101101101111001011110000010011000010011110100101101110001100000011110110110011101011011010001110000101011010011010001101011001010100111000000001,8.00000000,1.09174098,1.191898375900,(AND1 (OR1 (AND1 (NOT1 (NOT1 D)) (WIRE (AND1 B C))) (XOR1 (XOR1 (AND1 C C) (AND1 D A)) (NOT1 (AND1 B C)))) (NOT1 (AND1 (NOT1 (NOT1 D)) (WIRE (AND1 B C)))))
15,13.11240000,366,'001101001000110000011010011010000100100110101101111010100010001111011000011010000011001010000001110010001010001100110000010011101011100111100111101000111101111000110111101110110110011110100000110111110011111000010101011110100,15.00000000,'010111000101010111100000101111000001101110100100110100000111110101010000010111011000110111110111011010011110100100100100100110110101100110110000101000000100010000111100000011100110000011111011000000011110010010101111000100110,8.00000000,1.06435720,1.132856239999,(XOR1 (AND1 (NOT1 (AND1 (WIRE D) (XOR1 C A))) (OR1 (OR1 (AND1 A B) (WIRE D)) (NOT1 (XOR1 C A)))) (NOT1 (OR1 (NOT1 (OR1 B A)) (OR1 (AND1 A B) (WIRE D)))))
16,13.41268000,623,'101010011001011100001000001010010110001000000111000011110001010100011001111111011100000100110101110000101101111100011100101001110111100100001010101001011100101100110011001001110111000001100000100000010110010101100100000011101,32.00000000,'100111001100111100001110011010111000100011011011000110001100000000010010110000011001110110101110101001111101000100100000100010100011010000000000001010001101110000000100100110110110000000010001111001010100000101101101100010000,8.00000000,2.62836741,6.908315217596,(XOR1 (NOT1 (XOR1 (NOT1 (XOR1 B D)) (OR1 (AND1 B A) (OR1 C C)))) (WIRE (OR1 (NOT1 (XOR1 B D)) (WIRE (OR1 B A)))))
17,12.96324500,509,'011010100111010010110000111101110001010101110101100000011110110010110000001111001000101001101011110001101110011101100101010011101011101010111001001010101101110111000101110001110001110000011001100011001110011011000010000000101,15.00000000,'111100001111101100101001100001011111100111001000111110101010000000101000111110011111100000101011101000010101110101110100100000100111101110011110100111001100111000011110001001010001100011100111011010000100000001010011001101010,8.00000000,1.02721666,1.055174069973,(WIRE (AND1 (OR1 (OR1 (OR1 A B) (NOT1 C)) (AND1 (XOR1 D C) (OR1 C A))) (XOR1 (OR1 (NOT1 C) (NOT1 B)) (AND1 (XOR1 D C) (OR1 C A)))))
18,13.29983000,461,'011010111001111110111101100011101001001101101110010111000101000000001010100010001100110001000010100110101111100011001110011100101101010011010101101011010010111011010111101000011100101000010110011010000001111000100001100011011,15.00000000,'000110110100010000101111001011111100101111101101111010110000011000001010011101010011011111010000100010011001100000100111100011111100010101110000010000000100111010110110110110111100110101011001000001101100110010111010000111000,8.00000000,1.08864685,1.185151971098,(NOT1 (AND1 (XOR1 (AND1 (NOT1 D) (NOT1 D)) (OR1 (AND1 B A) (XOR1 C A))) (OR1 (OR1 (AND1 B A) (OR1 B C)) (OR1 (AND1 B A) (XOR1 C A)))))
19,13.08443000,904,'011110111001100100001100101011010001001111100100001011011000110001101100110010001100010001011010000100100101110100110101000000010001011111110101010110100110011001110000111001101100100010111000100011100111111001011000101101001,30.00000000,'001011100000000100111101001101111100110100000100011001100000100001110000110111010100001011111100001111101110000100000011101011110010011001111000011100010110001100010110001001000111000010011111111001010111110010001010100011010,8.00000000,1.39875358,1.956511575098,(NOT1 (XOR1 (AND1 (OR1 (XOR1 B C) (AND1 B A)) (OR1 (XOR1 B C) (AND1 B A))) (AND1 (OR1 (XOR1 B A) (AND1 B A)) (XOR1 (XOR1 B A) (NOT1 D)))))
