10,40.66972667,1721,'1 3 4 4 2 4 1 4 3 2 4 0 3 1 0 4 0 3 1 1 4 0 0 3 1 1 3 3 0 3 3 4 3 4 2 4 4 2 0 0 2 3 4 2 1 0 1 0 2 3 3 1 2 4 2 3 1 0 3 2 3 1 3 2 1 4 4 4 2 2 0 4 2 4 4 ,62.00000000,'0 4 3 1 1 2 2 0 2 1 1 1 4 3 2 0 4 0 1 4 4 1 1 2 0 2 0 0 3 1 4 0 4 2 4 2 3 4 0 3 2 4 2 0 4 4 4 4 0 1 3 3 0 2 1 4 1 4 4 3 2 0 1 2 2 2 3 3 2 4 0 2 1 3 0 ,22.00000000,3.91035457,15.290872858632,(WIRE (OR1 (AND1 (WIRE (AND1 C A)) (WIRE (XOR1 B D))) (WIRE (WIRE (AND1 D B))))),(XOR1 (XOR1 (XOR1 (WIRE (AND1 C A)) (WIRE (XOR1 B D))) (AND1 (WIRE (AND1 C A)) (WIRE (XOR1 B D)))) (WIRE (AND1 (WIRE (AND1 C A)) (WIRE (XOR1 B D))))),(NOT1 (NOT1 (WIRE (WIRE (XOR1 A C)))))
11,40.46197500,1567,'4 1 3 0 2 0 2 4 4 1 1 0 1 3 4 4 1 3 2 2 1 3 2 4 2 4 3 1 4 4 1 3 0 4 0 0 3 3 1 1 4 4 2 1 4 1 3 2 3 2 3 0 2 1 4 1 1 1 4 2 3 4 0 2 1 4 2 2 3 4 2 1 1 2 3 ,47.00000000,'0 3 2 4 2 2 2 2 2 4 0 0 4 0 4 1 4 3 0 2 1 0 0 1 2 3 1 2 2 1 2 2 2 1 2 1 1 0 3 1 2 2 2 0 0 1 0 3 4 2 1 0 0 3 4 2 0 4 3 0 3 2 4 3 1 1 3 3 0 1 0 0 1 3 3 ,22.00000000,3.11562045,9.707090766045,(AND1 (OR1 (XOR1 (XOR1 (AND1 B B) (XOR1 C A)) (OR1 (XOR1 C A) (XOR1 C A))) (AND1 (XOR1 (AND1 A C) (XOR1 B D)) (WIRE (XOR1 B D)))) (NOT1 (AND1 (XOR1 (AND1 A C) (XOR1 B D)) (WIRE (XOR1 B D))))),(XOR1 (OR1 (AND1 (OR1 (XOR1 C A) (XOR1 C A)) (WIRE (XOR1 C A))) (OR1 (WIRE (XOR1 C A)) (WIRE (XOR1 C A)))) (WIRE (XOR1 (OR1 (XOR1 C A) (XOR1 C A)) (XOR1 (AND1 A C) (XOR1 B D))))),(WIRE (OR1 (AND1 (OR1 (XOR1 C A) (XOR1 C A)) (WIRE (XOR1 C A))) (OR1 (WIRE (XOR1 C A)) (WIRE (XOR1 C A)))))
12,41.61704500,1837,'3 1 4 1 2 2 0 2 0 1 3 1 4 2 4 3 1 1 3 4 3 0 2 3 0 2 4 4 0 2 1 3 3 1 3 4 2 1 3 1 2 4 4 1 3 3 1 1 0 2 3 1 4 3 4 4 0 0 0 0 0 1 0 1 2 4 3 4 2 3 2 0 2 3 0 ,61.00000000,'1 2 4 2 3 2 4 3 0 1 3 3 1 2 1 3 3 0 0 3 0 4 3 4 3 0 4 2 2 2 4 2 3 1 3 2 2 3 4 3 2 0 0 3 1 4 0 2 4 1 0 4 0 3 0 3 2 4 3 2 0 0 3 2 4 2 3 4 2 2 1 0 3 0 2 ,22.00000000,4.63554784,21.488303801280,(AND1 (OR1 (XOR1 (WIRE (OR1 B D)) (WIRE (XOR1 D B))) (XOR1 (WIRE (OR1 B D)) (XOR1 (XOR1 D B) (AND1 A C)))) (WIRE (WIRE (WIRE (OR1 B D))))),(XOR1 (WIRE (WIRE (WIRE (OR1 B D)))) (WIRE (XOR1 (WIRE (OR1 B D)) (XOR1 (XOR1 D B) (AND1 A C))))),(NOT1 (AND1 (WIRE (NOT1 (XOR1 A C))) (WIRE (NOT1 (XOR1 A C)))))
13,41.19095000,1277,'2 4 4 3 0 2 2 4 0 1 4 2 3 1 4 1 3 0 1 2 3 2 3 4 0 4 3 4 2 0 3 1 1 3 3 1 2 1 4 0 2 0 2 3 4 3 2 1 0 1 2 1 1 0 3 3 1 3 3 1 0 1 2 0 3 4 2 2 1 2 0 2 1 3 3 ,47.00000000,'3 3 1 1 1 1 4 4 1 3 4 4 4 4 4 1 4 4 0 3 4 4 0 3 4 2 2 1 2 2 4 1 1 3 2 0 4 1 3 1 1 0 3 0 3 2 3 4 0 0 0 2 0 2 3 3 4 1 1 2 4 3 1 3 3 4 2 3 0 2 2 2 1 1 0 ,22.00000000,2.78471209,7.754621430878,(NOT1 (OR1 (AND1 (AND1 (NOT1 D) (NOT1 B)) (XOR1 (AND1 C A) (NOT1 B))) (XOR1 (XOR1 (AND1 C A) (NOT1 B)) (WIRE (NOT1 D))))),(XOR1 (OR1 (AND1 (AND1 (NOT1 D) (NOT1 B)) (XOR1 (AND1 C A) (NOT1 B))) (XOR1 (XOR1 (AND1 C A) (NOT1 B)) (WIRE (NOT1 D)))) (OR1 (AND1 (AND1 (NOT1 D) (NOT1 B)) (XOR1 (AND1 C A) (NOT1 B))) (AND1 (AND1 (NOT1 D) (NOT1 B)) (XOR1 (AND1 C A) (NOT1 B))))),(OR1 (AND1 (OR1 (WIRE (XOR1 C A)) (WIRE (XOR1 C A))) (OR1 (WIRE (XOR1 C A)) (WIRE (XOR1 C A)))) (AND1 (OR1 (WIRE (XOR1 C A)) (WIRE (XOR1 C A))) (OR1 (WIRE (XOR1 C A)) (WIRE (XOR1 C A)))))
14,41.69288667,363,'0 2 0 1 3 3 2 2 1 0 4 1 3 3 1 1 1 0 4 1 3 2 2 4 0 1 4 3 2 4 0 1 1 1 2 2 2 3 1 4 4 3 2 4 0 2 1 4 2 3 1 1 2 4 3 4 4 0 3 3 2 4 0 2 3 2 1 3 0 2 3 1 3 0 2 ,47.00000000,'2 2 1 4 1 4 4 2 0 0 4 1 2 1 2 4 1 0 1 3 4 0 1 3 3 2 0 2 3 2 1 0 4 1 4 1 4 1 0 0 0 3 1 3 3 0 0 4 2 2 2 0 1 0 1 1 4 1 4 1 0 4 1 3 2 4 2 2 4 4 4 4 2 2 1 ,22.00000000,3.07169846,9.435331400475,(AND1 (XOR1 (NOT1 (WIRE (OR1 D D))) (OR1 (XOR1 (OR1 C C) (OR1 C C)) (XOR1 (AND1 A C) (WIRE B)))) (WIRE (OR1 (AND1 (WIRE B) (WIRE B)) (WIRE (OR1 D D))))),(NOT1 (XOR1 (NOT1 (WIRE (OR1 D D))) (OR1 (XOR1 (OR1 C C) (OR1 C C)) (XOR1 (AND1 A C) (WIRE B))))),(AND1 (OR1 (OR1 (XOR1 (OR1 C C) (OR1 C C)) (XOR1 (AND1 A C) (WIRE B))) (WIRE (XOR1 (OR1 A A) (OR1 C C)))) (XOR1 (WIRE (XOR1 (OR1 A A) (OR1 C C))) (AND1 (XOR1 (OR1 C C) (OR1 C C)) (XOR1 (OR1 A A) (OR1 C C)))))
15,41.08276000,1672,'1 3 4 2 1 1 4 2 0 1 3 0 0 2 1 4 2 0 3 1 2 0 3 3 4 2 4 2 1 2 4 1 0 3 2 2 2 1 1 4 4 2 0 2 4 0 0 2 1 1 2 4 4 0 0 2 3 1 3 3 3 1 2 2 2 3 1 1 1 2 0 1 2 4 4 ,47.00000000,'2 1 1 0 4 0 1 1 3 0 3 0 1 3 0 3 0 4 2 0 3 2 2 3 4 3 3 0 4 3 2 1 0 1 2 4 0 0 2 1 0 2 3 3 3 4 2 4 4 3 0 2 4 4 3 4 1 3 4 3 3 0 2 1 4 0 0 1 4 0 1 1 1 0 3 ,22.00000000,3.04380093,9.264724115739,(NOT1 (WIRE (AND1 (NOT1 (AND1 A C)) (NOT1 (AND1 B D))))),(WIRE (AND1 (XOR1 (AND1 (OR1 A C) (AND1 A C)) (WIRE (XOR1 B D))) (XOR1 (AND1 (OR1 A C) (AND1 A C)) (WIRE (XOR1 B D))))),(OR1 (NOT1 (NOT1 (XOR1 (OR1 A C) (AND1 A C)))) (NOT1 (NOT1 (XOR1 (OR1 A C) (AND1 A C)))))
16,41.38093333,1744,'4 2 4 2 4 1 3 1 4 1 3 1 2 0 1 2 2 1 3 4 4 0 1 3 4 2 3 0 4 4 2 0 4 2 3 0 4 2 1 1 4 1 3 0 4 0 2 4 1 2 3 3 3 4 2 3 1 4 3 4 4 3 0 2 0 4 2 1 1 3 1 0 3 1 2 ,47.00000000,'3 0 0 3 3 1 2 1 2 4 3 1 4 2 4 3 0 4 3 3 3 4 3 4 0 2 2 3 0 3 4 2 0 2 0 1 4 1 4 2 4 4 2 4 2 4 0 4 4 0 4 0 2 0 0 4 3 0 1 1 0 0 3 0 3 4 4 3 2 0 2 3 4 4 2 ,24.00000000,3.24829696,10.551433128901,(AND1 (XOR1 (XOR1 (WIRE (OR1 C A)) (OR1 (XOR1 D B) (XOR1 D B))) (OR1 (XOR1 (OR1 B D) (OR1 C A)) (XOR1 (XOR1 A C) (OR1 C A)))) (OR1 (OR1 (XOR1 (XOR1 A C) (OR1 C A)) (WIRE (XOR1 A C))) (OR1 (XOR1 (OR1 B D) (OR1 C A)) (XOR1 (XOR1 A C) (OR1 C A))))),(XOR1 (XOR1 (OR1 (XOR1 (OR1 B D) (OR1 C A)) (XOR1 (XOR1 A C) (OR1 C A))) (OR1 (XOR1 (OR1 B D) (OR1 C A)) (XOR1 (XOR1 A C) (OR1 C A)))) (XOR1 (XOR1 (WIRE (XOR1 A C)) (OR1 (XOR1 D B) (XOR1 D B))) (OR1 (XOR1 (XOR1 A C) (OR1 C A)) (WIRE (XOR1 A C))))),(OR1 (XOR1 (OR1 (XOR1 (OR1 B D) (OR1 C A)) (XOR1 (XOR1 A C) (OR1 C A))) (OR1 (XOR1 (OR1 B D) (OR1 C A)) (XOR1 (XOR1 A C) (OR1 C A)))) (WIRE (AND1 (WIRE (XOR1 A C)) (WIRE (OR1 C A)))))
17,40.95277167,276,'3 4 0 2 0 1 0 2 4 3 3 1 1 3 4 2 0 2 4 1 4 1 1 1 4 2 4 4 3 1 0 4 1 2 3 4 1 1 0 0 4 0 4 4 0 1 1 0 4 4 3 3 1 1 3 2 1 1 0 4 3 4 0 0 0 1 2 3 4 0 2 1 3 3 0 ,47.00000000,'1 0 3 2 1 2 2 2 2 3 0 2 0 3 2 3 0 4 4 2 4 4 3 4 4 2 1 4 1 3 3 3 2 4 1 2 3 1 1 3 4 0 4 3 0 3 0 4 4 0 4 2 3 3 0 0 0 3 0 4 1 2 4 4 2 1 1 4 3 2 3 0 3 0 2 ,22.00000000,3.51904975,12.383711151214,(AND1 (OR1 (AND1 (NOT1 (XOR1 A C)) (OR1 (XOR1 B D) (OR1 D D))) (AND1 (XOR1 (XOR1 B D) (OR1 C A)) (XOR1 (XOR1 B D) (OR1 C A)))) (XOR1 (XOR1 (OR1 (OR1 C A) (OR1 C A)) (XOR1 (XOR1 B D) (XOR1 A C))) (OR1 (NOT1 (XOR1 A C)) (OR1 (XOR1 B D) (OR1 D D))))),(OR1 (AND1 (XOR1 (OR1 (OR1 C A) (OR1 C A)) (XOR1 (XOR1 B D) (XOR1 A C))) (XOR1 (OR1 (OR1 C A) (OR1 C A)) (XOR1 (XOR1 B D) (XOR1 A C)))) (AND1 (XOR1 (OR1 (OR1 C A) (OR1 C A)) (XOR1 (XOR1 B D) (XOR1 A C))) (XOR1 (OR1 (OR1 C A) (OR1 C A)) (XOR1 (XOR1 B D) (XOR1 A C))))),(XOR1 (OR1 (AND1 (NOT1 (XOR1 A C)) (OR1 (XOR1 B D) (OR1 D D))) (XOR1 (OR1 (OR1 C A) (OR1 C A)) (XOR1 (XOR1 B D) (XOR1 A C)))) (OR1 (AND1 (NOT1 (XOR1 A C)) (OR1 (XOR1 B D) (OR1 D D))) (AND1 (XOR1 (XOR1 B D) (OR1 C A)) (XOR1 (XOR1 B D) (OR1 C A)))))
18,41.49861833,529,'2 4 3 3 1 1 4 1 3 2 4 0 3 1 4 1 2 2 2 0 1 4 3 4 1 3 1 4 1 2 2 2 1 2 2 0 2 1 1 0 1 3 4 1 4 1 2 4 4 0 4 0 2 3 1 1 1 3 0 1 4 2 2 2 1 3 1 2 2 3 3 3 1 0 1 ,47.00000000,'2 1 1 1 2 1 0 1 2 4 0 1 2 3 0 3 1 3 3 2 0 1 3 4 2 0 2 2 1 0 2 3 3 4 2 1 0 4 0 1 2 0 0 3 0 3 3 3 4 4 4 3 0 1 0 1 1 3 3 0 4 2 4 0 2 1 3 3 4 2 3 0 0 3 4 ,22.00000000,3.18849830,10.166521424339,(NOT1 (OR1 (WIRE (NOT1 (OR1 D B))) (OR1 (XOR1 (XOR1 D B) (AND1 C A)) (XOR1 (XOR1 D B) (AND1 C A))))),(WIRE (WIRE (OR1 (XOR1 (XOR1 D B) (AND1 C A)) (XOR1 (XOR1 D B) (AND1 C A))))),(NOT1 (XOR1 (XOR1 (NOT1 (XOR1 D B)) (OR1 (WIRE A) (WIRE C))) (OR1 (XOR1 (XOR1 D B) (AND1 C A)) (XOR1 (XOR1 D B) (AND1 C A)))))
19,42.12555333,1329,'1 3 4 2 2 3 2 0 3 3 1 3 0 4 3 4 1 4 4 0 3 2 2 0 0 3 3 3 0 1 0 4 3 4 3 4 3 3 0 1 2 0 2 1 0 1 4 3 2 4 4 0 4 4 0 0 3 4 2 0 4 0 1 1 1 3 3 4 3 2 3 0 4 3 3 ,65.00000000,'4 4 0 3 4 1 4 0 1 1 2 4 3 4 3 2 2 3 4 2 1 2 0 2 2 4 0 0 0 2 4 2 0 3 2 3 0 4 4 0 2 2 3 3 2 3 4 1 2 2 4 1 2 2 3 4 3 2 3 2 3 1 1 0 0 1 3 0 0 0 0 1 4 2 1 ,22.00000000,5.81693502,33.836733027139,(OR1 (AND1 (AND1 (AND1 (WIRE C) (WIRE C)) (WIRE (WIRE A))) (AND1 (WIRE (XOR1 B D)) (WIRE (XOR1 B D)))) (WIRE (XOR1 (OR1 (WIRE D) (XOR1 B D)) (WIRE (XOR1 B D))))),(WIRE (XOR1 (AND1 (WIRE (XOR1 B D)) (WIRE (XOR1 B D))) (AND1 (AND1 (WIRE C) (WIRE C)) (WIRE (WIRE A))))),(WIRE (WIRE (WIRE (XOR1 (WIRE A) (WIRE C)))))
